Pergunta,A,B,C,D,Correta,Imagem,Tema
"1) A _____________ é o equipamento instalado na casa do cliente em forma de modem. Sua função é receber o sinal óptico e o converter em sinal elétrico, podendo ser transmitido a um equipamento através de cabo Ethernet ou WiFi.",OLT,NAP,ONT,SPLITTER,C,
"2) Léo precisa instalar cabos em três apartamentos. No primeiro ele usou 7,8 metros de cabo No segundo, 9,5 metros No terceiro, 8,7 metros Quantos metros de cabo ele usou no total?","26,0 m","25,0 m","25,8 m","26,5 m",A,
3) Sobre as soluções de conectividade o que é o Wi-Fi Mesh?,Um sistema com vários pontos de acesso que ampliam e estabilizam o sinal de Wi-Fi pela casa,Um roteador que funciona apenas com conexão via cabo,Um cabo especial que aumenta a velocidade da internet,Um aplicativo para gerenciar a velocidade da conexão,A,
4) O Cabo Óptico Drop Flat é utilizado na instalação ao cliente final. Ele é composto por:,"Plástico, capa e laser óptico","Conector mecânico, capa e mensageiro.","Núcleo, Capa e mensageiro","Mensageiro, Fibra Óptica e Elemento de Tração",D,
5) Qual é o aplicativo disponível para o instalador onde é possível verificar os detalhes da instalação?,Conectado,Speedtest,Técnico Nota 10,WhatsApp,C,
6) Qual é a forma correta de trabalhar em altura segundo as normas de segurança?,Subir na escada de chinelo e confiar no equilíbrio.,"Usar EPI (cinto, talabarte, capacete) e EPC (linha de vida, cones) adequados.","Evitar EPI porque ""atrapalha o serviço""",Pedir para alguém segurar a escada,B,
7) Qual funcionalidade do serviço inteligente do Fone permite alternar entre chamadas?,Chamada em espera,Conferência a Três,Siga-me,PABX,A,
"8) Com o CLARO TV+ BOX o cliente tem acesso ao melhor da programação, e com acesso a diversos Apps de streaming, direto do decodificador. Selecione a que não contém o app disponível em nossa box:",Globo Play,Deezer,Prime Video,Netflix,B,
"9) Complete a lacuna: Para um atendimento diferencial e satisfatório, a Claro adotou o uso do_______ como acessório OBRIGATÓRIO, ele deve ser utilizado internamente TODAS as vezes que você visitar a residência do cliente, seja para assistência técnica, instalação ou serviço.",Carro personalizado com a marca Claro,Mala de Ferramentas Personalizada,Propé,Óculos de segurança,C,
"10) Sobre as soluções de conectividade, o que é o Ponto Ultra?",É rede #NET-CLARO-WIFI é a rede Wi-Fi fora de casa da Claro. São milhares de pontos de acesso Wi-Fi disponíveis.,Todas as alternativas acima,"É uma solução que permite maior alcance e capacidade na rede WI-FI, com tecnologia Dual Band.","É a ativação de um ou mais pontos com extensão via cabo ethernet, para potencializar a conexão com total estabilidade",D,
11) Qual é o primeiro procedimento que o instalador deve realizar ao chegar na base?,Instalar o ONT,Checar a NAP mais próxima,"Ativar a rota no TOA e iniciar a atividade ""Na Base""",Colher a assinatura digital da OS,C,
"12) ""Para maior comodidade, o cliente poderá usar o controle remoto da Claro nas funções básicas (Ligar/desligar e controle de volume do seu televisor e/ou Home Theater."" A afirmação acima é:",Verdadeira,Falsa,NDA,Todas as alternativas,A,
13) Uma instalação começa às 8h15 e termina às 11h40. Quanto tempo durou o serviço?,3h25min,3h30min,3h15min,3h20min,A,
"14) Na NAP, havia 16 portas disponíveis. Pela manhã, o técnico ativou 7 clientes. À tarde, ativou mais 6. Quantas portas livres sobraram no final do dia?",3,4,5,6,A,
15) Qual o tipo de fibra utilizado em nossa rede GPON?,Monomodo,Multimodo,NDA,Todas alternativas,A,
"16) Rafa levou 60 metros de cabo para uma instalação. Ele cortou: Um pedaço de 12,5 m Outro de 18,5 m E mais um de 9 m Quantos metros ainda restam?",22 m,19 m,21 m,20 m,D,
17) O que o instalador deve fazer antes de realizar o trabalho em altura?,"Ativar a rota no TOA e iniciar a atividade ""Na Base""","Fazer a APR, usar os EPCs e EPIs e ativar o botão escada no Nota 10",Conferir a NAP mais próxima e instalar o ONT,Colher a assinatura digital da OS,B,
18) Um técnico faz 4 instalações no dia. Cada instalação leva 1h35min Para cada instalação há um deslocamento de 25 minutos Qual é o tempo total gasto no dia (instalações + deslocamentos)?,7h40min,7h50min,8h,8h10min,C,
