Pergunta,A,B,C,D,Correta,Imagem
1) Na falta da etiqueta Wi-Fi (usuário e senha do EMTA) o que deve ser realizado?,Anotar a numeração do SSID e SENHA em qualquer local da OS.,É obrigatório o preenchimento das informaçõ es SSID e SENHA no campo observação da OS.,Pedir para que o cliente entre em contato com a central de atendimento.,Deixar o seu numero de telefone para o cliente te ligar quando necessário.,B,
"2) Conforme procedimento de Baixa na URA, para o MAC 0023754F1608, é necessário digitar para o caractere hexadecimal ( F ) : ",*6,*06,6,#6,B,
3) Qual o procedimento correto para realizar a validação de retorno?   ,Canal 262 + 8291 + Preenchimento do numero da OS e Contrato,Canal 262 + Menu +8291 Preenchimento do numero da OS e Contrato,Canal 262 + Menu + Tecla Azul + 8291 + Preenchimento do número da OS e Contrato,Canal 262 + Tecla Azul + 8291 + Preenchimento do numero da OS e Contrato.,D,
4) O que é AUTO HIT? ,Funcionalidade que permite o envio automático de HIT pelo controle remoto em equipamentos HD e HDMAX.,"Funcionalidade que permite o envio automático de HIT pelo controle remoto em equipamentos SD, HD e HDMAX.",Funcionalidade que permite o reset do decodificador e suas configurações através do controle remoto.,Todas as alternativas estão corretas,A,
"5) Dos padrões de redes Wi-Fi abaixo, qual nos proporciona a maior velocidade da taxa de transmissão?   ",g,n,a,ac,D,
6) Sobre a facilidade CONFIGURAÇÃO SENHA WI FI:   ,"Com essa nova facilidade nosso cliente conseguiu Consultar, trocar a senha e nome da rede WI-FI de sua casa apenas através do site, ainda não está disponível pelo NETAPP.","Consultar, trocar a senha e nome da rede WI-FI de sua casa através do NET APP e também pelo site MINHA NET."," Consultar, trocar a senha e nome da rede WI-FI de sua casa atraves do NET APP, ainda não está disponível pelo site MINHA NET.",n.d.a,B,
7) Qual a diferença entre um passivo da rede interna e um passivo de rede externa?,"Nenhuma, a função dos dois é dividir o sinal",O de Rede Externa suporta umidade e permite passagem de AC,O de Rede externa permite que se tenha o sinal em parte desiguais,O de Rede interna pode ser utilizado para acoplar sinais,B,
8) O que é Valida Retorno?  ,"Pacote que dá direito ao cliente acessar via site, da NET os últimos lançamentos dos canais Telecine",Validação dos dados de instalação e confirmação do pacote instalado para que o cliente possa usufruir de todos os recursos do sistema NETTV,Verificação da comunicação do Decoder Digital para que o cliente possa usufruir de todos os recursos do sistema NET TV como compra pelo controle remoto e NOW (vídeo on Demand).,Verificação da comunicação do televisor para que o cliente possa usufruir de todos os recursos do sistema NET TV como Full HD e 4K.,C,
9) Qual alternativa corresponde aos problemas causados ao cliente caso ele não seja orientado sobre o uso de senhas?   ,Compra de conteúdos do NOW sem os seu conhecimento,Ligações na central para solicitar estorno de valores referente a compras,Reclamações nos órgãos de defesa ao consumidor,Todas as alternativas estão corretas,D,
10) São características da fibra óptica.,Alta atenuação ;,Necessidade de amplificação a cada 2Km,Maior sensibilidade a interferências eletromagnéticas;,Nenhuma das alternativas.,D,
11) Qual é a impedância  de um cabo coaxial utilizado em CATV?,75 ohms .,50 ohms .,22 ohms .,15 ohms.,A,
12) É considerada interferência na rede HFC:,Tenção AC gerada pela fonte acima do regulamento pela ANATEL.,Sinal de UHF invadindo a faixa de CATV .,"Nível alto de entrada no amplificador, gerando saturação na imagem","Nível de potência óptica muito alta no receptor óptico, gerando saturação do link.",B,
13) Dentro do cabo coaxial as frequências sofrem a mesma  atenuação?,"Sim, tanto as mais altas como as mais baixas possuem atenuação igual .","Não, as frequências mais baixas sofrem maior atenuação","Não, as frequências mais altas sofrem maior atenuação",N.d.a,C,
14) O que é tilt ?,Nível de sinal de portadoras distintas .,Nível de sinal do canal de retorno .,Diferença entre frequências do canal direto e do canal de retorno,Diferença de sinal entre portadoras distintas.,D,
15) Qual a função do cable isolator?,Proteger a instalação e os equipamentos da rede da NET contra picos de tensão de (AC).,"Proteger a rede de cabos em caso de retorno de ac gerado , pelo decodificador .",Isolador com casamento de impedância para adaptar a conexão dos cabos drop com o de distribuição interna .,Apenas fazer emenda do cabo preto (drop) com o cabo branco de 'distribuição interna .,A,
"16) Se o cliente agendar uma visita para ser atendido das 11:00 às 14:00 e o técnico chegar às 14:20, qual Indicador será afetado?",ISRA .,STFC .,SCM .,TEC1 .,D,
17) Qual a função do CMTS?,Interligar a rede interna à rede HFC .,Concentrar o s dados da internet para transmitir via upstre am ao cable modem .,"Interligar a rede de telefonia com a internet, gerando o VOIP.",Fazer a comunicação e o gerenciamento dos modems.,D,
